Flicknamn 2002;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2002.   ;;;;;;;;;
Namnen redovisas under den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
2002;2001;Namn;Antal;Per;Namn;Antal;Per;2002;2001
;;;bärare;1000;;bärare;1000;;
1;(2);Emma;1 223;26;Agnes;398;8;35;(34)
2;(4);Elin;1 047;22;Alexandra;298;6;47;(45)
3;(1);Julia;1 003;21;Alice;524;11;20;(22)
4;(3);Hanna;987;21;Alicia;259;5;52;(53)
5;(8);Linnéa;943;20;Alma;339;7;41;(41)
6;(6);Ida;937;20;Alva;700;15;13;(17)
7;(5);Wilma;892;19;Amanda;787;17;10;(7)
8;(9);Matilda;810;17;Andrea;101;2;93;(84)
9;(12);Moa;799;17;Anna;444;9;27;(24)
10;(7);Amanda;787;17;Annie;128;3;77;(67)
11;(10);Maja;780;16;Astrid;123;3;83;(88)
12;(11);Klara;733;15;Carolina;99;2;95;(83)
13;(17);Alva;700;15;Caroline;127;3;80;(73)
14;(13);Sara;687;14;Cecilia;108;2;89;(80)
15;(15);Ebba;661;14;Cornelia;204;4;58;(59)
16;(16);Emilia;633;13;Ebba;661;14;15;(15)
17;(14);Felicia;631;13;Elin;1 047;22;2;(4)
18;(36);Ella;572;12;Elina;145;3;75;(80)
19;(23);Tilda;566;12;Ella;572;12;18;(36)
20;(22);Alice;524;11;Ellen;517;11;21;(25)
21;(25);Ellen;517;11;Ellinor;127;3;80;(78)
22;(18);Johanna;493;10;Elsa;427;9;31;(40)
23;(20);Emelie;480;10;Elvira;207;4;56;(64)
24;(28);Lovisa;474;10;Emelie;480;10;23;(20)
25;(21);Josefine;473;10;Emilia;633;13;16;(16)
26;(32);Frida;455;10;Emma;1 223;26;1;(2)
27;(24);Anna;444;9;Emmy;194;4;62;(58)
28;(29);Tilde;442;9;Erika;122;3;86;(77)
29;(19);Sofia;436;9;Evelina;254;5;53;(54)
29;(26);Isabelle;436;9;Fanny;303;6;45;(41)
31;(40);Elsa;427;9;Felicia;631;13;17;(14)
32;(35);Nathalie;415;9;Filippa;392;8;39;(39)
33;(31);Linn;412;9;Frida;455;10;26;(32)
34;(33);Olivia;410;9;Hanna;987;21;4;(3)
35;(34);Agnes;398;8;Hedda;115;2;88;(NY)
35;(43);Saga;398;8;Hilda;121;3;87;(87)
37;(27);Rebecca;397;8;Ida;937;20;6;(6)
38;(52);Thea;394;8;Isabella;275;6;50;(46)
39;(39);Filippa;392;8;Isabelle;436;9;29;(26)
40;(30);Lisa;388;8;Jasmine;188;4;66;(57)
41;(41);Alma;339;7;Jennifer;301;6;46;(37)
42;(37);Kajsa;330;7;Jenny;131;3;76;(66)
43;(79);Tindra;320;7;Jessica;103;2;91;(92)
44;(51);Nellie;309;6;Johanna;493;10;22;(18)
45;(41);Fanny;303;6;Jonna;173;4;68;(76)
46;(37);Jennifer;301;6;Josefine;473;10;25;(21)
47;(45);Alexandra;298;6;Julia;1 003;21;3;(1)
