Flicknamn 2002;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2002.   ;;;;;;;;;
Namnen redovisas under den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
2002;2001;Namn;Antal;Per;Namn;Antal;Per;2002;2001
48;(55);Tuva;284;6;Kajsa;330;7;42;(37)
49;(46);Lina;276;6;Klara;733;15;12;(11)
50;(46);Isabella;275;6;Lina;276;6;49;(46)
51;(48);Nora;270;6;Linda;96;2;98;(92)
52;(53);Alicia;259;5;Linn;412;9;33;(31)
53;(54);Evelina;254;5;Linnéa;943;20;5;(8)
54;(44);Sandra;216;5;Lisa;388;8;40;(30)
55;(61);Tova;210;4;Liv;98;2;96;(NY)
56;(64);Elvira;207;4;Louise;194;4;62;(50)
56;(49);Victoria;207;4;Lova;127;3;80;(NY)
58;(59);Cornelia;204;4;Lovisa;474;10;24;(28)
59;(70);Ronja;200;4;Madeleine;158;3;71;(63)
60;(71);Selma;198;4;Maja;780;16;11;(10)
61;(64);Sofie;195;4;Malin;192;4;64;(56)
62;(50);Louise;194;4;Maria;166;3;70;(69)
62;(58);Emmy;194;4;Matilda;810;17;8;(9)
64;(56);Malin;192;4;Melissa;97;2;97;(98)
65;(73);Stina;189;4;Michelle;102;2;92;(86)
66;(60);Sanna;188;4;Mikaela;155;3;73;(68)
66;(57);Jasmine;188;4;Miranda;96;2;98;(90)
68;(76);Jonna;173;4;Moa;799;17;9;(12)
69;(75);Molly;170;4;Molly;170;4;69;(75)
70;(69);Maria;166;3;My;156;3;72;(72)
71;(63);Madeleine;158;3;Nathalie;415;9;32;(35)
72;(72);My;156;3;Nellie;309;6;44;(51)
73;(68);Mikaela;155;3;Nicole;123;3;83;(84)
74;(62);Tove;154;3;Nora;270;6;51;(48)
75;(80);Elina;145;3;Olivia;410;9;34;(33)
76;(66);Jenny;131;3;Rebecca;397;8;37;(27)
77;(NY);Smilla;128;3;Ronja;200;4;59;(70)
77;(88);Vendela;128;3;Saga;398;8;35;(43)
77;(67);Annie;128;3;Sandra;216;5;54;(44)
80;(NY);Lova;127;3;Sanna;188;4;66;(60)
80;(73);Caroline;127;3;Sara;687;14;14;(13)
80;(78);Ellinor;127;3;Selma;198;4;60;(71)
83;(88);Astrid;123;3;Smilla;128;3;77;(NY)
83;(84);Nicole;123;3;Sofia;436;9;29;(19)
83;(94);Tyra;123;3;Sofie;195;4;61;(64)
86;(77);Erika;122;3;Stella;101;2;93;(NY)
87;(87);Hilda;121;3;Stina;189;4;65;(73)
88;(NY);Hedda;115;2;Thea;394;8;38;(52)
89;(80);Cecilia;108;2;Tilda;566;12;19;(23)
89;(82);Vera;108;2;Tilde;442;9;28;(29)
91;(92);Jessica;103;2;Tindra;320;7;43;(79)
92;(86);Michelle;102;2;Tova;210;4;55;(61)
93;(NY);Stella;101;2;Tove;154;3;74;(62)
93;(84);Andrea;101;2;Tuva;284;6;48;(55)
95;(83);Carolina;99;2;Tyra;123;3;83;(94)
96;(NY);Liv;98;2;Vanessa;95;2;100;(NY)
97;(98);Melissa;97;2;Vendela;128;3;77;(88)
98;(92);Linda;96;2;Vera;108;2;89;(82)
98;(90);Miranda;96;2;Victoria;207;4;56;(49)
100;(NY);Vanessa;95;2;Wilma;892;19;7;(5)
