Flicknamn 1999;;;;;;;;Innehåll
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 1999.   ;;;;;;;;
Namnen redovisas under den vanligaste stavningen,;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;
;;;;;;;;
Rangordning;;;;Bokstavsordning;;;;
Nr;Namn;Antal;Per;Namn;Antal;Per;Nr;
;;bärare;1000;;bärare;1000;;
1;Emma;1 396;32;Agnes;257;6;44;
2;Julia;1 230;28;Alexandra;401;9;25;
3;Elin;1 084;25;Alice;377;9;30;
4;Hanna;1 041;24;Alicia;184;4;64;
5;Amanda;976;22;Alma;218;5;54;
6;Linnéa;955;22;Alva;362;8;32;
7;Wilma;849;19;Amanda;976;22;5;
8;Matilda;807;18;Andrea;93;2;93;
9;Moa;805;18;Angelica;110;2;87;
10;Ida;736;17;Anna;508;11;21;
11;Maja;735;17;Annie;149;3;75;
12;Sara;728;16;Astrid;95;2;91;
13;Johanna;675;15;Beatrice;94;2;92;
14;Emelie;646;15;Carolina;172;4;68;
15;Felicia;628;14;Caroline;217;5;55;
16;Emilia;615;14;Cassandra;105;2;88;
17;Ebba;605;14;Cecilia;151;3;74;
18;Josefine;563;13;Clara;544;12;19;
19;Clara;544;12;Cornelia;236;5;51;
20;Sofia;529;12;Daniella;104;2;89;
21;Anna;508;11;Ebba;605;14;17;
22;Frida;494;11;Elin;1 084;25;3;
23;Rebecka;479;11;Elina;121;3;83;
24;Ellen;416;9;Ella;195;4;61;
25;Lovisa;401;9;Ellen;416;9;24;
25;Alexandra;401;9;Ellinor;181;4;66;
27;Olivia;396;9;Elsa;212;5;56;
28;Isabelle;386;9;Elvira;135;3;80;
29;Lisa;381;9;Emelie;646;15;14;
30;Alice;377;9;Emilia;615;14;16;
31;Fanny;373;8;Emma;1 396;32;1;
32;Jennifer;362;8;Emmy;193;4;62;
32;Alva;362;8;Erika;212;5;56;
34;Sandra;361;8;Evelina;322;7;38;
35;Linn;355;8;Fanny;373;8;31;
36;Nathalie;339;8;Felicia;628;14;15;
37;Malin;326;7;Filippa;308;7;39;
38;Evelina;322;7;Frida;494;11;22;
39;Filippa;308;7;Gabriella;147;3;76;
40;Louise;289;7;Hanna;1 041;24;4;
41;Victoria;287;6;Hilda;76;2;99;
42;Kajsa;279;6;Ida;736;17;10;
43;Lina;270;6;Isabella;252;6;46;
44;Agnes;257;6;Isabelle;386;9;28;
45;Sofie;256;6;Jasmine;183;4;65;
46;Isabella;252;6;Jennifer;362;8;32;
47;Tilda;244;6;Jenny;237;5;50;
48;Mikaela;241;5;Jessica;199;4;59;
49;Nora;239;5;Johanna;675;15;13;
50;Jenny;237;5;Jonna;159;4;71;
51;Cornelia;236;5;Josefine;563;13;18;
51;Madeleine;236;5;Julia;1 230;28;2;
53;Sanna;231;5;Kajsa;279;6;42;
54;Alma;218;5;Karin;132;3;82;
55;Caroline;217;5;Kristina;72;2;100;
56;Elsa;212;5;Lina;270;6;43;
56;Erika;212;5;Linda;156;4;73;
58;Saga;206;5;Linn;355;8;35;
59;Jessica;199;4;Linnéa;955;22;6;
60;Maria;197;4;Lisa;381;9;29;
61;Ella;195;4;Louise;289;7;40;
62;Emmy;193;4;Lovisa;401;9;25;
63;Nellie;191;4;Madeleine;236;5;51;
64;Alicia;184;4;Maja;735;17;11;
65;Jasmine;183;4;Malin;326;7;37;
66;Ellinor;181;4;Maria;197;4;60;
67;Therese;173;4;Matilda;807;18;8;
68;Carolina;172;4;Melissa;86;2;95;
69;Stina;166;4;Michelle;120;3;84;
70;Ronja;162;4;Mikaela;241;5;48;
71;Jonna;159;4;Miranda;88;2;94;
72;My;157;4;Moa;805;18;9;
73;Linda;156;4;Molly;118;3;85;
74;Cecilia;151;3;My;157;4;72;
75;Annie;149;3;Nathalie;339;8;36;
76;Gabriella;147;3;Nellie;191;4;63;
77;Tova;142;3;Nicole;134;3;81;
78;Tove;140;3;Nora;239;5;49;
79;Tilde;138;3;Olivia;396;9;27;
80;Elvira;135;3;Paulina;82;2;97;
81;Nicole;134;3;Rebecka;479;11;23;
82;Karin;132;3;Ronja;162;4;70;
83;Elina;121;3;Sabina;83;2;96;
84;Michelle;120;3;Saga;206;5;58;
85;Molly;118;3;Sandra;361;8;34;
86;Vendela;112;3;Sanna;231;5;53;
87;Angelica;110;2;Sara;728;16;12;
88;Cassandra;105;2;Selma;80;2;98;
89;Daniella;104;2;Sofia;529;12;20;
90;Thea;100;2;Sofie;256;6;45;
91;Astrid;95;2;Stina;166;4;69;
92;Beatrice;94;2;Thea;100;2;90;
93;Andrea;93;2;Therese;173;4;67;
94;Miranda;88;2;Tilda;244;6;47;
95;Melissa;86;2;Tilde;138;3;79;
96;Sabina;83;2;Tova;142;3;77;
97;Paulina;82;2;Tove;140;3;78;
98;Selma;80;2;Vendela;112;3;86;
99;Hilda;76;2;Victoria;287;6;41;
100;Kristina;72;2;Wilma;849;19;7;
