Flicknamn 2008;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2008.   ;;;;;;;;;
Namnen redovisas under den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
2008;2007;Namn;Antal;Per;Namn;Antal;Per;2008;2007
62;(51);Lisa ;219;4;Lovisa;362;7;37;(34)
63;(67);Mira ;212;4;Maja ;850;16;1;(2)
64;(62);Emmy ;202;4;Majken ;115;2;98;(Ny)
65;(53);Engla ;198;4;Maria;118;2;96;(80)
66;(71);Evelina;195;4;Matilda ;448;9;28;(25)
66;(57);Rebecka ;195;4;Meja;258;5;53;(55)
68;(63);Josefine;186;4;Melissa ;138;3;87;(82)
68;(89);Liv ;186;4;Mira ;212;4;63;(67)
70;(78);Inez ;184;4;Miranda;146;3;84;(83)
71;(69);Ronja ;178;3;Moa ;515;10;21;(19)
72;(56);Anna ;177;3;Molly ;547;10;18;(30)
73;(80);Ingrid ;172;3;Märta ;140;3;86;(83)
74;(68);Hilda ;169;3;Nathalie ;369;7;36;(41)
75;(76);Edith ;167;3;Nellie ;645;12;11;(13)
75;(69);Elina ;167;3;Nora ;361;7;38;(36)
77;(73);Kajsa ;164;3;Nova ;470;9;25;(28)
78;(87);Leia;162;3;Olivia ;495;10;22;(24)
79;(75);Lina ;158;3;Rebecka ;195;4;66;(57)
79;(97);Svea ;158;3;Ronja ;178;3;71;(69)
81;(72);Fanny ;150;3;Saga ;469;9;26;(23)
81;(Ny);Iris ;150;3;Sara;478;9;23;(26)
83;(89);Victoria;149;3;Selma ;322;6;46;(46)
84;(83);Miranda;146;3;Signe ;247;5;56;(54)
85;(85);Sofie;141;3;Siri ;256;5;54;(65)
86;(83);Märta ;140;3;Sofia ;281;5;50;(44)
87;(82);Melissa ;138;3;Sofie;141;3;85;(85)
88;(74);Johanna ;137;3;Stella ;332;6;44;(33)
89;(Ny);Hedda;135;3;Stina ;236;5;57;(58)
90;(Ny);Joline;130;2;Svea ;158;3;79;(97)
91;(87);Annie ;129;2;Thea ;372;7;35;(42)
92;(77);Alexandra ;128;2;Tilda ;332;6;44;(40)
93;(Ny);Elise;123;2;Tilde ;335;6;43;(39)
94;(97);Irma ;122;2;Tindra ;402;8;32;(32)
95;(93);Livia ;120;2;Tuva ;419;8;31;(31)
96;(Ny);Ellie ;118;2;Tyra ;347;7;41;(43)
96;(80);Maria;118;2;Vendela;114;2;99;(Ny)
98;(Ny);Majken ;115;2;Vera ;297;6;49;(49)
99;(Ny);Vendela;114;2;Victoria;149;3;83;(89)
100;(91);Jennifer;104;2;Wilma ;703;13;9;(1)
