Flicknamn 2008;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2008.   ;;;;;;;;;
Namnen redovisas under den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
2008;2007;Namn;Antal;Per;Namn;Antal;Per;2008;2007
;;;bärare;1000;;bärare;1000;;
1;(2);Maja ;850;16;Agnes;587;11;17;(16)
2;(4);Emma ;827;16;Alexandra ;128;2;92;(77)
3;(5);Julia ;821;16;Alice ;764;15;6;(6)
4;(3);Ella ;798;15;Alicia ;436;8;30;(37)
5;(12);Elsa ;776;15;Alma ;441;8;29;(27)
6;(6);Alice ;764;15;Alva ;722;14;7;(7)
7;(7);Alva ;722;14;Amanda ;597;11;15;(17)
8;(8);Linnea;718;14;Anna ;177;3;72;(56)
9;(1);Wilma ;703;13;Annie ;129;2;91;(87)
10;(13);Klara ;662;13;Astrid ;306;6;48;(52)
11;(13);Nellie ;645;12;Cornelia ;229;4;58;(61)
12;(9);Ida ;639;12;Ebba ;625;12;14;(10)
13;(11);Elin;628;12;Edith ;167;3;75;(76)
14;(10);Ebba;625;12;Elin ;628;12;13;(11)
15;(17);Amanda ;597;11;Elina ;167;3;75;(69)
16;(22);Isabelle ;596;11;Elise;123;2;93;(Ny)
17;(16);Agnes;587;11;Ella ;798;15;4;(3)
18;(30);Molly ;547;10;Ellen ;477;9;24;(21)
19;(20);Hanna ;539;10;Ellie ;118;2;96;(Ny)
20;(18);Emilia ;529;10;Elsa ;776;15;5;(12)
21;(19);Moa ;515;10;Elvira ;376;7;34;(38)
22;(24);Olivia ;495;10;Emelie ;351;7;40;(48)
23;(26);Sara;478;9;Emilia ;529;10;20;(18)
24;(21);Ellen ;477;9;Emma ;827;16;2;(4)
25;(28);Nova ;470;9;Emmy ;202;4;64;(62)
26;(23);Saga ;469;9;Engla ;198;4;65;(53)
27;(15);Felicia ;465;9;Ester;275;5;51;(50)
28;(25);Matilda ;448;9;Evelina;195;4;66;(71)
29;(27);Alma ;441;8;Fanny ;150;3;81;(72)
30;(37);Alicia ;436;8;Felicia ;465;9;27;(15)
31;(31);Tuva ;419;8;Filippa ;354;7;39;(29)
32;(32);Tindra ;402;8;Freja ;347;7;41;(45)
33;(35);Isabella ;395;8;Frida ;221;4;60;(47)
34;(38);Elvira ;376;7;Hanna ;539;10;19;(20)
35;(42);Thea ;372;7;Hedda;135;3;89;(Ny)
36;(41);Nathalie ;369;7;Hilda ;169;3;74;(68)
37;(34);Lovisa;362;7;Ida ;639;12;12;(9)
38;(36);Nora ;361;7;Inez ;184;4;70;(78)
39;(29);Filippa ;354;7;Ingrid ;172;3;73;(80)
40;(48);Emelie ;351;7;Iris ;150;3;81;(Ny)
41;(45);Freja ;347;7;Irma ;122;2;94;(97)
41;(43);Tyra ;347;7;Isabella ;395;8;33;(35)
43;(39);Tilde ;335;6;Isabelle ;596;11;16;(22)
44;(33);Stella ;332;6;Jasmine;222;4;59;(Ny)
44;(40);Tilda ;332;6;Jennifer;104;2;100;(91)
46;(46);Selma ;322;6;Johanna ;137;3;88;(74)
47;(59);Lova ;312;6;Joline;130;2;90;(Ny)
48;(52);Astrid ;306;6;Josefine;186;4;68;(63)
49;(49);Vera ;297;6;Julia ;821;16;3;(5)
50;(44);Sofia ;281;5;Kajsa ;164;3;77;(73)
51;(50);Ester;275;5;Klara ;662;13;10;(13)
52;(64);Lilly ;267;5;Lea;254;5;55;(66)
53;(55);Meja;258;5;Leia;162;3;78;(87)
54;(65);Siri ;256;5;Lilly ;267;5;52;(64)
55;(66);Lea;254;5;Lina ;158;3;79;(75)
56;(54);Signe ;247;5;Linn ;220;4;61;(60)
57;(58);Stina ;236;5;Linnea;718;14;8;(8)
58;(61);Cornelia ;229;4;Lisa ;219;4;62;(51)
59;(Ny);Jasmine;222;4;Liv ;186;4;68;(89)
60;(47);Frida ;221;4;Livia ;120;2;95;(93)
61;(60);Linn ;220;4;Lova ;312;6;47;(59)
