Flicknamn 2001;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2001.   ;;;;;;;;;
Namnen redovisas under den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
2001;2000;Namn;Antal;Per;Namn;Antal;Per;2001;2000
;;;bärare;1000;;bärare;1000;;
1;(1);Julia;1 166;26;Agnes;362;8;34;(44)
2;(2);Emma;1 121;25;Alexandra;264;6;45;(39)
3;(4);Hanna;1 031;23;Alice;453;10;22;(25)
4;(5);Elin;947;21;Alicia;217;5;53;(61)
5;(3);Wilma;901;20;Alma;292;7;41;(53)
6;(8);Ida;865;20;Alva;553;13;17;(26)
7;(7);Amanda;853;19;Amanda;853;19;7;(7)
8;(6);Linnéa;839;19;Andrea;114;3;84;(84)
9;(9);Matilda;791;18;Angelica;83;2;99;(98)
10;(10);Maja;789;18;Anna;439;10;24;(22)
11;(16);Klara;745;17;Annie;164;4;67;(80)
12;(10);Moa;689;16;Astrid;109;2;88;(81)
13;(12);Sara;670;15;Carolina;117;3;83;(84)
14;(14);Felicia;646;15;Caroline;149;3;73;(72)
15;(13);Ebba;636;14;Cassandra;90;2;96;(90)
16;(15);Emilia;569;13;Cecilia;127;3;80;(78)
17;(26);Alva;553;13;Cornelia;190;4;59;(57)
18;(18);Johanna;512;12;Ebba;636;14;15;(13)
19;(20);Sofia;510;12;Elin;947;21;4;(5)
20;(19);Emelie;494;11;Elina;127;3;80;(77)
21;(17);Josefine;467;11;Ella;353;8;36;(45)
22;(25);Alice;453;10;Ellen;433;10;25;(24)
23;(33);Tilda;441;10;Ellinor;131;3;78;(68)
24;(22);Anna;439;10;Elsa;310;7;40;(48)
25;(24);Ellen;433;10;Elvira;173;4;64;(69)
26;(27);Isabelle;422;10;Emelie;494;11;20;(19)
27;(29);Rebecca;421;10;Emilia;569;13;16;(15)
28;(31);Lovisa;418;9;Emma;1 121;25;2;(2)
29;(42);Tilde;406;9;Emmy;193;4;58;(54)
30;(30);Lisa;393;9;Erika;134;3;77;(63)
31;(20);Linn;391;9;Evelina;211;5;54;(43)
32;(22);Frida;390;9;Fanny;292;7;41;(36)
33;(28);Olivia;379;9;Felicia;646;15;14;(14)
34;(44);Agnes;362;8;Filippa;313;7;39;(37)
35;(32);Nathalie;361;8;Frida;390;9;32;(22)
36;(45);Ella;353;8;Gabriella;89;2;97;(82)
37;(33);Jennifer;350;8;Hanna;1 031;23;3;(4)
38;(35);Kajsa;330;7;Hilda;111;3;87;(95)
39;(37);Filippa;313;7;Ida;865;20;6;(8)
40;(48);Elsa;310;7;Isabella;262;6;46;(50)
41;(53);Alma;292;7;Isabelle;422;10;26;(27)
41;(36);Fanny;292;7;Jasmine;195;4;57;(67)
43;(40);Saga;291;7;Jennifer;350;8;37;(33)
44;(38);Sandra;268;6;Jenny;167;4;66;(55)
45;(39);Alexandra;264;6;Jessica;102;2;92;(70)
46;(41);Lina;262;6;Johanna;512;12;18;(18)
46;(50);Isabella;262;6;Jonna;139;3;76;(72)
48;(49);Nora;260;6;Josefine;467;11;21;(17)
49;(46);Victoria;250;6;Julia;1 166;26;1;(1)
50;(52);Louise;233;5;Kajsa;330;7;38;(35)
51;(59);Nellie;226;5;Karin;103;2;91;(90)
52;(76);Thea;218;5;Klara;745;17;11;(16)
53;(61);Alicia;217;5;Lina;262;6;46;(41)
54;(43);Evelina;211;5;Linda;102;2;92;(87)
55;(88);Tuva;208;5;Linn;391;9;31;(20)
56;(47);Malin;199;4;Linnéa;839;19;8;(6)
57;(67);Jasmine;195;4;Lisa;393;9;30;(30)
58;(54);Emmy;193;4;Louise;233;5;50;(52)
59;(57);Cornelia;190;4;Lovisa;418;9;28;(31)
60;(51);Sanna;188;4;Madeleine;175;4;63;(56)
61;(64);Tova;185;4;Maja;789;18;10;(10)
62;(74);Tove;176;4;Malin;199;4;56;(47)
63;(56);Madeleine;175;4;Maria;161;4;69;(61)
64;(69);Elvira;173;4;Matilda;791;18;9;(9)
64;(58);Sofie;173;4;Melissa;87;2;98;(93)
66;(55);Jenny;167;4;Michelle;112;3;86;(88)
67;(80);Annie;164;4;Mikaela;162;4;68;(60)
68;(60);Mikaela;162;4;Miranda;106;2;90;(96)
69;(61);Maria;161;4;Moa;689;16;12;(10)
70;(65);Ronja;160;4;Molly;148;3;75;(83)
71;(86);Selma;152;3;My;151;3;72;(66)
72;(66);My;151;3;Nathalie;361;8;35;(32)
73;(71);Stina;149;3;Nellie;226;5;51;(59)
73;(72);Caroline;149;3;Nicole;114;3;84;(75)
75;(83);Molly;148;3;Nora;260;6;48;(49)
76;(72);Jonna;139;3;Olivia;379;9;33;(28)
77;(63);Erika;134;3;Rebecca;421;10;27;(29)
78;(68);Ellinor;131;3;Ronja;160;4;70;(65)
79;(NY);Tindra;128;3;Saga;291;7;43;(40)
80;(77);Elina;127;3;Sandra;268;6;44;(38)
80;(78);Cecilia;127;3;Sanna;188;4;60;(51)
82;(100);Vera;122;3;Sara;670;15;13;(12)
83;(84);Carolina;117;3;Selma;152;3;71;(86)
84;(75);Nicole;114;3;Signe;82;2;100;(NY)
84;(84);Andrea;114;3;Sofia;510;12;19;(20)
86;(88);Michelle;112;3;Sofie;173;4;64;(58)
87;(95);Hilda;111;3;Stina;149;3;73;(71)
88;(81);Astrid;109;2;Thea;218;5;52;(76)
88;(79);Vendela;109;2;Therese;93;2;95;(92)
90;(96);Miranda;106;2;Tilda;441;10;23;(33)
91;(90);Karin;103;2;Tilde;406;9;29;(42)
92;(87);Linda;102;2;Tindra;128;3;79;(NY)
92;(70);Jessica;102;2;Tova;185;4;61;(64)
94;(NY);Tyra;98;2;Tove;176;4;62;(74)
95;(92);Therese;93;2;Tuva;208;5;55;(88)
96;(90);Cassandra;90;2;Tyra;98;2;94;(NY)
97;(82);Gabriella;89;2;Vendela;109;2;88;(79)
98;(93);Melissa;87;2;Vera;122;3;82;(100)
99;(98);Angelica;83;2;Victoria;250;6;49;(46)
100;(NY);Signe;82;2;Wilma;901;20;5;(3)
