Flicknamn 2005;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2005.   ;;;;;;;;;
Namnen redovisas under den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
2005;2004;Namn;Antal;Per;Namn;Antal;Per;2005;2004
87;(89);Signe ;134;3;Stella ;247;5;56;(71)
88;(NY);Hedda ;127;2;Stina ;254;5;54;(58)
89;(NY);Miranda ;124;2;Thea ;402;8;35;(31)
90;(74);Malin ;121;2;Tilda;465;9;27;(20)
90;(78);Vendela ;121;2;Tilde ;416;8;33;(27)
92;(65);Sofie ;118;2;Tindra ;526;10;23;(24)
93;(93);Minna ;117;2;Tova;192;4;67;(61)
94;(NY);Märta ;115;2;Tove ;108;2;100;(89)
94;(95);Leia ;115;2;Tuva ;375;7;37;(36)
96;(79);Jonna ;113;2;Tyra ;306;6;45;(55)
96;(75);Sanna ;113;2;Vendela ;121;2;90;(78)
96;(86);Melissa ;113;2;Vera ;211;4;64;(68)
99;(92);Smilla ;109;2;Victoria ;153;3;77;(72)
100;(89);Tove ;108;2;Wilma ;748;15;12;(9)
