Flicknamn 2005;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2005.   ;;;;;;;;;
Namnen redovisas under den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
2005;2004;Namn;Antal;Per;Namn;Antal;Per;2005;2004
;;;bärare;1000;;bärare;1000;;
1;(1);Emma ;1 109;22;Agnes ;478;9;26;(29)
2;(2);Maja ;1 039;20;Alexandra;201;4;66;(60)
3;(5);Julia ;916;18;Alice ;913;18;4;(13)
4;(13);Alice ;913;18;Alicia;375;7;37;(42)
5;(3);Ida ;906;18;Alma ;423;8;31;(35)
6;(6);Linnéa ;880;17;Alva ;862;17;8;(8)
7;(4);Elin ;875;17;Amanda;667;13;15;(16)
8;(8);Alva ;862;17;Amelia;145;3;81;(NY)
9;(7);Hanna ;815;16;Anna ;294;6;46;(40)
10;(11);Ella ;806;16;Annie ;137;3;84;(84)
11;(11);Ebba ;774;15;Astrid ;171;3;72;(73)
12;(9);Wilma ;748;15;Cornelia ;288;6;48;(65)
13;(10);Klara ;716;14;Ebba ;774;15;11;(11)
14;(15);Moa;695;14;Elin ;875;17;7;(4)
15;(16);Amanda;667;13;Elina ;217;4;60;(69)
16;(14);Matilda ;646;13;Ella ;806;16;10;(11)
17;(17);Elsa ;606;12;Ellen ;498;10;25;(21)
18;(18);Sara ;584;11;Elsa ;606;12;17;(17)
19;(19);Emilia;559;11;Elvira ;245;5;57;(56)
20;(32);Filippa ;558;11;Emelie ;440;9;30;(25)
21;(29);Isabelle;546;11;Emilia;559;11;19;(19)
22;(23);Felicia;544;11;Emma ;1 109;22;1;(1)
23;(24);Tindra ;526;10;Emmy ;237;5;59;(50)
24;(22);Saga ;508;10;Engla ;172;3;70;(89)
25;(21);Ellen ;498;10;Ester ;211;4;64;(83)
26;(29);Agnes ;478;9;Evelina;215;4;62;(54)
27;(28);Olivia ;465;9;Fanny ;216;4;61;(57)
27;(20);Tilda;465;9;Felicia;544;11;22;(23)
29;(38);Nellie ;462;9;Filippa ;558;11;20;(32)
30;(25);Emelie ;440;9;Freja ;138;3;82;(85)
31;(35);Alma ;423;8;Frida ;406;8;34;(33)
32;(26);Lovisa ;421;8;Hanna ;815;16;9;(7)
33;(27);Tilde ;416;8;Hedda ;127;2;88;(NY)
34;(33);Frida ;406;8;Hilda ;157;3;76;(81)
35;(31);Thea ;402;8;Ida ;906;18;5;(3)
36;(37);Sofia ;389;8;Isabella;290;6;47;(48)
37;(42);Alicia;375;7;Isabelle;546;11;21;(29)
37;(36);Tuva ;375;7;Jasmine;213;4;63;(64)
39;(41);Nathalie ;361;7;Jennifer ;181;4;69;(52)
40;(43);Lisa ;346;7;Johanna ;261;5;53;(47)
41;(39);Josefine;336;7;Jonna ;113;2;96;(79)
42;(44);Nora ;327;6;Josefine;336;7;41;(39)
43;(34);Linn ;315;6;Julia ;916;18;3;(5)
44;(53);Nova ;314;6;Kajsa ;241;5;58;(49)
45;(55);Tyra ;306;6;Klara ;716;14;13;(10)
46;(40);Anna ;294;6;Lea ;188;4;68;(87)
47;(48);Isabella;290;6;Leia ;115;2;94;(95)
48;(65);Cornelia ;288;6;Lina ;271;5;51;(51)
48;(45);Rebecka ;288;6;Linn ;315;6;43;(34)
50;(46);Lova ;287;6;Linnéa ;880;17;6;(6)
51;(51);Lina ;271;5;Lisa ;346;7;40;(43)
52;(59);Molly ;266;5;Liv ;151;3;79;(82)
53;(47);Johanna ;261;5;Louise;163;3;74;(63)
54;(58);Stina ;254;5;Lova ;287;6;50;(46)
55;(67);Selma ;251;5;Lovisa ;421;8;32;(26)
56;(71);Stella ;247;5;Maja ;1 039;20;2;(2)
57;(56);Elvira ;245;5;Malin ;121;2;90;(74)
58;(49);Kajsa ;241;5;Maria ;138;3;82;(76)
59;(50);Emmy ;237;5;Matilda ;646;13;16;(14)
60;(69);Elina ;217;4;Meja ;172;3;70;(79)
61;(57);Fanny ;216;4;Melissa ;113;2;96;(86)
62;(54);Evelina;215;4;Mikaela ;170;3;73;(99)
63;(64);Jasmine;213;4;Minna ;117;2;93;(93)
64;(68);Vera ;211;4;Mira ;137;3;84;(93)
64;(83);Ester ;211;4;Miranda ;124;2;89;(NY)
66;(60);Alexandra;201;4;Moa;695;14;14;(15)
67;(61);Tova;192;4;Molly ;266;5;52;(59)
68;(87);Lea ;188;4;My ;148;3;80;(77)
69;(52);Jennifer ;181;4;Märta ;115;2;94;(NY)
70;(89);Engla ;172;3;Nathalie ;361;7;39;(41)
70;(79);Meja ;172;3;Nellie ;462;9;29;(38)
72;(73);Astrid ;171;3;Nicole ;137;3;84;(88)
73;(99);Mikaela ;170;3;Nora ;327;6;42;(44)
74;(63);Louise;163;3;Nova ;314;6;44;(53)
75;(62);Ronja ;160;3;Olivia ;465;9;27;(28)
76;(81);Hilda ;157;3;Rebecka ;288;6;48;(45)
77;(72);Victoria ;153;3;Ronja ;160;3;75;(62)
78;(70);Sandra ;152;3;Saga ;508;10;24;(22)
79;(82);Liv ;151;3;Sandra ;152;3;78;(70)
80;(77);My ;148;3;Sanna ;113;2;96;(75)
81;(NY);Amelia;145;3;Sara ;584;11;18;(18)
82;(76);Maria ;138;3;Selma ;251;5;55;(67)
82;(85);Freja ;138;3;Signe ;134;3;87;(89)
84;(93);Mira ;137;3;Smilla ;109;2;99;(92)
84;(88);Nicole ;137;3;Sofia ;389;8;36;(37)
84;(84);Annie ;137;3;Sofie ;118;2;92;(65)
