Flicknamn 2006;;;;;;;;Innehåll;;;;;;;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2006.   ;;;;;;;;;;;;;;;
Namnen redovisas under den vanligaste stavningen,;;;;;;;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;;;;;;;
2006;2005;Namn;Antal;Per;Namn;Antal;Per;2006;2005;;;;;;
;;;bärare;1000;;bärare;1000;;;;;;;;
88;(82);Maria;126;2;Stina;235;4;57;(54);;;;;;
88;(78);Sandra;126;2;Thea;415;8;31;(35);;;;;;
90;(Ny);Lilly;124;2;Tilda;470;9;28;(27);;;;;;
91;(79);Liv;120;2;Tilde;355;7;38;(33);;;;;;
91;(92);Sofie;120;2;Tindra;511;10;24;(23);;;;;;
93;(96);Sanna;118;2;Tova;156;3;75;(67);;;;;;
93;(90);Vendela;118;2;Tove;113;2;98;(100);;;;;;
95;(84);Annie;117;2;Tuva;400;8;33;(37);;;;;;
96;(74);Louise;115;2;Tyra;377;7;35;(45);;;;;;
96;(94);Märta;115;2;Vendela;118;2;93;(90);;;;;;
98;(100);Tove;113;2;Vera;243;5;54;(64);;;;;;
99;(Ny);Ingrid;112;2;Victoria;136;3;84;(77);;;;;;
99;(96);Jonna;112;2;Wilma;852;16;7;(12);;;;;;
