Flicknamn 2004;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2004.   ;;;;;;;;;
Namnen redovisas under den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
2004;2003;Namn;Antal;Per;Namn;Antal;Per;2004;2003
;;;bärare;1000;;bärare;1000;;
1;(1);Emma ;1265;27;Agnes ;473;10;29;(32)
2;(8);Maja ;1024;22;Alexandra ;218;5;60;(57)
3;(3);Ida ;1013;21;Alice ;774;16;13;(16)
4;(2);Elin ;988;21;Alicia ;349;7;42;(43)
5;(6);Julia ;945;20;Alma ;402;9;35;(39)
6;(5);Linnéa ;896;19;Alva ;844;18;8;(9)
7;(4);Hanna ;856;18;Amanda ;702;15;16;(11)
8;(9);Alva ;844;18;Anna ;354;7;40;(33)
9;(7);Wilma ;800;17;Annie ;132;3;84;(79)
10;(12);Klara ;797;17;Astrid ;163;3;73;(76)
11;(14);Ebba ;780;17;Cornelia;188;4;65;(61)
11;(15);Ella ;780;17;Ebba ;780;17;11;(14)
13;(16);Alice ;774;16;Elin ;988;21;4;(2)
14;(13);Matilda ;739;16;Elina ;172;4;69;(64)
15;(10);Moa ;711;15;Elise;104;2;97;(NY)
16;(11);Amanda ;702;15;Ella ;780;17;11;(15)
17;(25);Elsa ;620;13;Ellen ;549;12;21;(21)
18;(19);Sara ;578;12;Elsa ;620;13;17;(25)
19;(17);Emilia ;573;12;Elvira ;229;5;56;(53)
20;(20);Tilda ;554;12;Emelie ;492;10;25;(24)
21;(21);Ellen ;549;12;Emilia ;573;12;19;(17)
22;(34);Saga ;545;12;Emma ;1265;27;1;(1)
23;(18);Felicia ;522;11;Emmy ;251;5;50;(55)
24;(29);Tindra ;493;10;Engla ;114;2;89;(98)
25;(24);Emelie ;492;10;Ester ;134;3;83;(83)
26;(22);Lovisa ;481;10;Evelina;231;5;54;(54)
27;(26);Tilde ;476;10;Fanny ;227;5;57;(49)
28;(30);Olivia ;475;10;Felicia ;522;11;23;(18)
29;(32);Agnes ;473;10;Filippa ;444;9;32;(38)
29;(23);Isabelle ;473;10;Freja ;130;3;85;(NY)
31;(30);Thea ;455;10;Frida ;424;9;33;(28)
32;(38);Filippa ;444;9;Hanna ;856;18;7;(4)
33;(28);Frida ;424;9;Hilda ;138;3;81;(91)
34;(36);Linn ;416;9;Ida ;1013;21;3;(3)
35;(39);Alma ;402;9;Isa ;108;2;96;(NY)
36;(48);Tuva ;396;8;Isabella ;271;6;48;(46)
37;(27);Sofia ;395;8;Isabelle ;473;10;29;(23)
38;(42);Nellie ;394;8;Jasmine;191;4;64;(67)
39;(35);Josefine ;377;8;Jennifer ;244;5;52;(46)
40;(33);Anna ;354;7;Jenny ;101;2;99;(85)
41;(41);Nathalie ;350;7;Johanna ;290;6;47;(36)
42;(43);Alicia ;349;7;Jonna ;149;3;79;(72)
43;(40);Lisa ;347;7;Josefine ;377;8;39;(35)
44;(50);Nora ;344;7;Julia ;945;20;5;(6)
45;(44);Rebecca ;336;7;Kajsa ;260;6;49;(45)
46;(51);Lova ;309;7;Klara ;797;17;10;(12)
47;(36);Johanna ;290;6;Lea ;120;3;87;(NY)
48;(46);Isabella ;271;6;Leia ;109;2;95;(NY)
49;(45);Kajsa ;260;6;Lina;246;5;51;(52)
50;(55);Emmy ;251;5;Linn ;416;9;34;(36)
51;(52);Lina;246;5;Linnéa ;896;19;6;(5)
52;(46);Jennifer ;244;5;Lisa ;347;7;43;(40)
53;(87);Nova ;233;5;Liv ;137;3;82;(92)
54;(54);Evelina;231;5;Louise ;194;4;63;(65)
55;(58);Tyra ;230;5;Lova ;309;7;46;(51)
56;(53);Elvira ;229;5;Lovisa ;481;10;26;(22)
57;(49);Fanny ;227;5;Madeleine ;102;2;98;(78)
58;(69);Stina ;226;5;Maja ;1024;22;2;(8)
59;(58);Molly ;219;5;Malin ;158;3;74;(60)
60;(57);Alexandra ;218;5;Maria ;153;3;76;(80)
61;(56);Tova ;214;5;Matilda ;739;16;14;(13)
62;(70);Ronja ;198;4;Meja;149;3;79;(98)
63;(65);Louise ;194;4;Melissa;124;3;86;(100)
64;(67);Jasmine;191;4;Mikaela ;101;2;99;(89)
65;(61);Cornelia;188;4;Minna ;112;2;93;(96)
65;(68);Sofie ;188;4;Mira ;112;2;93;(NY)
67;(70);Selma ;186;4;Moa ;711;15;15;(10)
