Flicknamn 2004;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2004.   ;;;;;;;;;
Namnen redovisas under den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
2004;2003;Namn;Antal;Per;Namn;Antal;Per;2004;2003
68;(72);Vera ;181;4;Molly ;219;5;59;(58)
69;(64);Elina ;172;4;My;152;3;77;(76)
70;(62);Sandra ;169;4;Nathalie ;350;7;41;(41)
71;(82);Stella ;167;4;Nellie ;394;8;38;(42)
72;(66);Victoria;164;3;Nicole ;119;3;88;(75)
73;(76);Astrid ;163;3;Nora ;344;7;44;(50)
74;(60);Malin ;158;3;Nova ;233;5;53;(87)
75;(63);Sanna ;155;3;Olivia ;475;10;28;(30)
76;(80);Maria ;153;3;Rebecca ;336;7;45;(44)
77;(76);My;152;3;Ronja ;198;4;62;(70)
78;(84);Vendela;151;3;Saga ;545;12;22;(34)
79;(72);Jonna ;149;3;Sandra ;169;4;70;(62)
79;(98);Meja;149;3;Sanna ;155;3;75;(63)
81;(91);Hilda ;138;3;Sara ;578;12;18;(19)
82;(92);Liv ;137;3;Selma ;186;4;67;(70)
83;(83);Ester ;134;3;Signe ;114;2;89;(NY)
84;(79);Annie ;132;3;Smilla;113;2;92;(88)
85;(NY);Freja ;130;3;Sofia ;395;8;37;(27)
86;(100);Melissa;124;3;Sofie ;188;4;65;(68)
87;(NY);Lea ;120;3;Stella ;167;4;71;(82)
88;(75);Nicole ;119;3;Stina ;226;5;58;(69)
89;(NY);Signe ;114;2;Thea ;455;10;31;(30)
89;(74);Tove ;114;2;Tilda ;554;12;20;(20)
89;(98);Engla ;114;2;Tilde ;476;10;27;(26)
92;(88);Smilla;113;2;Tindra ;493;10;24;(29)
93;(NY);Mira ;112;2;Tova ;214;5;61;(56)
93;(96);Minna ;112;2;Tove ;114;2;89;(74)
95;(NY);Leia ;109;2;Tuva ;396;8;36;(48)
96;(NY);Isa ;108;2;Tyra ;230;5;55;(58)
97;(NY);Elise;104;2;Vendela;151;3;78;(84)
98;(78);Madeleine ;102;2;Vera ;181;4;68;(72)
99;(85);Jenny ;101;2;Victoria;164;3;72;(66)
99;(89);Mikaela ;101;2;Wilma ;800;17;9;(7)
